sample_id	ecotype	SRR	SRX
SRR18116530	CF	SRR18116530	SRX14266971
SRR18116531	CF	SRR18116531	SRX14266970
SRR18116532	CF	SRR18116532	SRX14266969
SRR18116533	CF	SRR18116533	SRX14266968
SRR18116534	CF	SRR18116534	SRX14266967
SRR18116535	CF	SRR18116535	SRX14266966
SRR18116536	CF	SRR18116536	SRX14266965
SRR18116538	CF	SRR18116538	SRX14266963
SRR18116539	CF	SRR18116539	SRX14266962
SRR18116540	CF	SRR18116540	SRX14266961
SRR18116541	CF	SRR18116541	SRX14266960
SRR18116542	CF	SRR18116542	SRX14266959
SRR18116543	CF	SRR18116543	SRX14266958
SRR18116544	CF	SRR18116544	SRX14266957
SRR18116545	CF	SRR18116545	SRX14266956
SRR18116546	CF	SRR18116546	SRX14266955
SRR18116547	CF	SRR18116547	SRX14266954
SRR18116572	VM	SRR18116572	SRX14266929
SRR18116573	VM	SRR18116573	SRX14266928
SRR18116574	VM	SRR18116574	SRX14266927
SRR18116575	VM	SRR18116575	SRX14266926
SRR18116576	VM	SRR18116576	SRX14266925
SRR18116577	VM	SRR18116577	SRX14266924
SRR18116579	VM	SRR18116579	SRX14266922
SRR18116580	VM	SRR18116580	SRX14266921
SRR18116581	VM	SRR18116581	SRX14266920
SRR18116582	VM	SRR18116582	SRX14266919
SRR18116583	VM	SRR18116583	SRX14266918
SRR18116584	VM	SRR18116584	SRX14266917
SRR18116585	VM	SRR18116585	SRX14266916
SRR18116586	VM	SRR18116586	SRX14266915
SRR18116587	VM	SRR18116587	SRX14266914
SRR18116604	CH	SRR18116604	SRX14266897
SRR18116605	CH	SRR18116605	SRX14266896
SRR18116606	CH	SRR18116606	SRX14266895
SRR18116607	CH	SRR18116607	SRX14266894
SRR18116608	CH	SRR18116608	SRX14266893
SRR18116609	CH	SRR18116609	SRX14266892
SRR18116611	CH	SRR18116611	SRX14266890
SRR18116612	CH	SRR18116612	SRX14266889
SRR18116613	CH	SRR18116613	SRX14266888
SRR18116614	CH	SRR18116614	SRX14266887
SRR18116615	CH	SRR18116615	SRX14266886
